,00c565c9-dddf-4a38-aa3b-e8c972e02772_roberta-base,085462c2-4b5d-46a7-ac9c-ededc1398f27_whisper-small-nepali,0fc580f8-2a63-47f6-87f6-a1795537544f_Qwen2,15a5ff70-5f69-4991-aa41-87e50be77cbd_twitter-roberta-base-emotion,22f6af8c-b3f2-4fe6-a5dc-a1fe298d7cff_SmallThinker-3B-Preview,26bf477d-282e-42cd-980c-b7a4debf0ced_whisper-small-belarusian,2bb315c4-d240-49d2-a08a-a8d26de2a9a0_FPG-whisper-small,2f31b936-21c4-43a3-ae01-30469caf352d_stsb-roberta-base,32456bef-dffe-4165-b39d-3e38762442a0_wav2vec2-base-960h-finetuned-ks_d1,34e9e0a1-fddb-4755-a692-0af574de2ed4_wav2vec2-base-960h-finetuned-gtzan_d1,39a843fe-5239-4099-85db-89cbfd506643_open-ai-small-2,3a28c659-7157-4dbe-8abb-a5e49fbdf25d_whisper-small-cs-cv11,4cd113f0-6e1e-43be-a797-997f10822d36_twitter-roberta-base,52cb0fb8-3906-47ed-bd0c-7df1ea844956_open-ai-small-3,69fe1c91-11b9-40ee-8fda-b24b2d9861ee_ft-roberta-toxicity,6b41d3c9-a7ac-4635-ad82-5c076e2b268c_Whisper-small-sr-yodas-v2,6b5bb1e3-7634-4a7f-85e4-db34667a78b5_open-ai-small-1,794703de-e973-41fe-afd2-341f4a235176_nli-roberta-base,8af3ab97-4371-488e-aaea-e4a03d64a199_wav2vec2-base-960h_d0,8e8c6640-a308-47b1-b06f-e2b955c1052c_smartmind-cyberone-20250401-test,92685a15-99fa-4713-927d-5cc6a6674822_whisper-small,9857137a-c1d6-4ed8-95fa-16c38e5fc95c_Qwen2,9c673983-168c-4cb3-b409-40e59cf5462b_wav2vec2-base-960h-speech-emotion-classification-E02_SER_d1,a51319bb-39fd-4586-ac01-48b2774e8dc0_twitter-roberta-base-irony,b26f8c0a-5d16-43af-9419-8a12233af44c_twitter-roberta-base-sentiment,b6888e9e-be10-483a-bc5d-7728092b9aa6_whisper-small-keyword-spotting,bdcbb51d-71a8-42f5-aae1-b4a71af7b1f4_special2,beca27f0-5d3a-4555-838e-b7145b79e20a_tw-roberta-base-sentiment-FT-v2,bf7f2777-63cf-404e-9d57-0b397f459262_wav2vec2-base-960h-finetuned-gtzan2_d1,c18b231a-28c0-4a36-9f17-a288627a9cc6_FPG-whisper-small-v2,cdd49ea8-6a19-4532-9b55-681f7a8f6ff2_whisper-small-cantonese,dfbfd358-38e2-440c-a706-6bc4a8a1ebf6_fa-ir-stt-whisper-small-v1,e4c3a50a-0b2b-4401-8e9a-0294160b421e_tw-roberta-base-sentiment-FT,e4ccab04-7d4b-4a22-ac0f-3b7cfa4dd857_Musical-Instrument-Classification_d1,edcbefa4-7b8b-4a44-891f-ad680556f266_whisper-small-final-v3,f812ed20-7186-4612-ae73-b8d670eafa3b_whisper-small-ftl
00c565c9-dddf-4a38-aa3b-e8c972e02772_roberta-base,0.0,1000000000.0,1000000000.0,36841.0,1000000000.0,1000000000.0,1000000000.0,36818.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,37606.0,1000000000.0,36841.0,1000000000.0,1000000000.0,36811.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36850.0,36843.0,1000000000.0,1000000000.0,36847.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36856.0,1000000000.0,1000000000.0,1000000000.0
085462c2-4b5d-46a7-ac9c-ededc1398f27_whisper-small-nepali,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,109282.0,108769.0,1000000000.0,1000000000.0,1000000000.0,109123.0,108864.0,1000000000.0,109122.0,1000000000.0,108879.0,109072.0,1000000000.0,1000000000.0,1000000000.0,108214.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36491.0,108890.0,1000000000.0,1000000000.0,109173.0,109398.0,108803.0,1000000000.0,1000000000.0,108941.0,109204.0
0fc580f8-2a63-47f6-87f6-a1795537544f_Qwen2,1000000000.0,1000000000.0,0.0,1000000000.0,147132.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,147139.0,1000000000.0,146975.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
15a5ff70-5f69-4991-aa41-87e50be77cbd_twitter-roberta-base-emotion,36841.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,37614.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36650.0,1000000000.0,37538.0,1000000000.0,1000000000.0,37612.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,37471.0,37531.0,1000000000.0,1000000000.0,37552.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,37602.0,1000000000.0,1000000000.0,1000000000.0
22f6af8c-b3f2-4fe6-a5dc-a1fe298d7cff_SmallThinker-3B-Preview,1000000000.0,1000000000.0,147132.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,144444.0,1000000000.0,147118.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
26bf477d-282e-42cd-980c-b7a4debf0ced_whisper-small-belarusian,1000000000.0,109282.0,1000000000.0,1000000000.0,1000000000.0,0.0,109288.0,1000000000.0,1000000000.0,1000000000.0,109325.0,109282.0,1000000000.0,109324.0,1000000000.0,109298.0,109316.0,1000000000.0,1000000000.0,1000000000.0,109266.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36621.0,109283.0,1000000000.0,1000000000.0,109356.0,109542.0,109296.0,1000000000.0,1000000000.0,109292.0,109372.0
2bb315c4-d240-49d2-a08a-a8d26de2a9a0_FPG-whisper-small,1000000000.0,108769.0,1000000000.0,1000000000.0,1000000000.0,109288.0,0.0,1000000000.0,1000000000.0,1000000000.0,109066.0,108863.0,1000000000.0,109086.0,1000000000.0,108848.0,108978.0,1000000000.0,1000000000.0,1000000000.0,107850.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36453.0,108867.0,1000000000.0,1000000000.0,109108.0,109411.0,108718.0,1000000000.0,1000000000.0,108894.0,109164.0
2f31b936-21c4-43a3-ae01-30469caf352d_stsb-roberta-base,36818.0,1000000000.0,1000000000.0,37614.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36841.0,1000000000.0,37612.0,1000000000.0,1000000000.0,37540.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,37612.0,37613.0,1000000000.0,1000000000.0,37613.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,37612.0,1000000000.0,1000000000.0,1000000000.0
32456bef-dffe-4165-b39d-3e38762442a0_wav2vec2-base-960h-finetuned-ks_d1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,36674.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36649.0,1000000000.0,1000000000.0,1000000000.0,36683.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36688.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36689.0,1000000000.0,1000000000.0
34e9e0a1-fddb-4755-a692-0af574de2ed4_wav2vec2-base-960h-finetuned-gtzan_d1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36674.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36573.0,1000000000.0,1000000000.0,1000000000.0,36612.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36681.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36615.0,1000000000.0,1000000000.0
